Title,class
कान्सासमा १३ वर्षीया बालिकालाई बलात्कार गरेको आरोपमा १९ पटक गैरकानूनी विदेशी विदेशीलाई पक्राउ,0
‘नेपाली परम्परागत चित्रकला : शिल्पज्ञान’ सार्वजनिक,1
"साउथ पार्कका सृष्टिकर्ताहरूले हार मान्छन्, डोनाल्ड ट्रम्प आफ्नो शोको ठट्टाको लागि धेरै मूर्ख छन् (भिडियो)",0
लन्डनका मेयरले युकेलाई ट्रम्पको राज्य भ्रमण रद्द गर्न आग्रह गरे पछि उनको विकृत आक्रमण पछिको मल्टडाउन,0
 वाह! किन श्रम सचिवको लागि ट्रम्पको छनोट उसको सिनेट सुनुवाईको केही घण्टा अघि फिर्ता भयो?,0
युरोपभरि कोरोना संक्रमण बढ्दो : कतै आंशिक लकडाउन कतै सघन उपचार कक्ष भरिभराउ,1
पाकिस्तानको पञ्जाबमा रेलले गाडीलाई ठक्कर दिँदा ३ जनाको मृत्यु,1
राजनीतिक स्तब्ध: बार्नी फ्रान्क कट्टरपन्थी इस्लामको समाधानमा ट्रम्पको शिविरमा छन्,0
रुबियोले फ्लिन्ट मिशिगन जल प्रदूषण संकट (भिडियो) को बारेमा के भन्यो तपाईलाई विश्वास गर्नुहुन्न,0
कांग्रेस केन्द्रीय समितिको बैठक सोमबार बस्ने ,1
"चीनमा तीन सन्तान नीतिका लागि तयारी, पुरूषलाई अझ धेरै सुत्केरी बिदा",1
Tubman र ज्याक्सन (स्क्रिनशट) मा तपाईंको धेरै आँखा अघि सही परिवर्तन इतिहास रूपमा हेर्नुहोस्,0
हवाई महान्यायाधिवक्ता जेफ सेसन्सलाई 'प्यासिफिकको टापु' मा न्यायाधीशको बारेमा गाली गरेकोमा अपमानित गर्दछ,0
तातो विषय: 'कोषहरूको बन्डल' कहिले मानव प्राणी बन्छ? [भिडियो],0
न्यूयोर्क गभर कुओमो सोच्छन् कि उहाँ तपाईका मालिक हुनुहुन्छ: मिसिसिपी यात्रामा प्रतिबन्ध लगाउनुहोस्!,0
वारसा घेट्टो मेमोरियल स्नबिङ गरेपछि पोल्याण्डमा यहूदी नेताहरूले ट्रम्पको निन्दा गरे,0
जिपी फाउण्डेशनद्वारा बिरामीलाई फलफूल वितरण,1
बुल्गेरियामा बसमा आगलागी हुँदा कम्तीमा ४६ जनाको मृत्यु,1
"MSNBC का क्रिस म्याथ्यूजले इभान्का ट्रम्प, जेरेड कुश्नरलाई सद्दाम हुसेनको हत्यारा, बलात्कारी छोराहरूसँग तुलना गर्छन्...""हत्या नगरी उनीहरूसँग आँखा सम्पर्क गर्न सकिएन"" [भिडियो]",0
नवौँ राष्ट्रिय खेलकुद : बल्ल खेलस्थलको मर्मत सुरु,1
सेपाकताक्रो टोली थाइल्यान्ड जाँदै,1
फिल्म 'प्रकाश'को ट्रेलर सार्वजनिक,1
नर्स बेलायत लैजाने प्रस्ताव मन्त्रिपरिषद्‍मा,1
विद्यार्थीलाई निर्मम रूपमा आक्रमण गर्ने प्रहरीको सेल फोन फुटेजले तपाईंलाई बिरामी पार्नेछ (भिडियो),0
मोतिशोभाका दुई कृति लोकार्पण,1
"जमानत अस्वीकृत: दोषी मुस्लिम बलात्कारीले अनिवार्य यौन अपराधी पाठ्यक्रम अस्वीकार गर्दछ किनभने यो ""[उनको] इस्लामिक विश्वाससँग द्वन्द्व हुन्छ""",0
राजन मुकारुङको अध्यक्षतामा आदिवासी जनजाति साहित्यकार/लेखक महासंघ गठन,1
युरोपा लिग फुटबल : आर्सनलको सहज जित,1
" Alt-Left ले क्याथोलिक सेन्टको मूर्ति तोडफोड गर्छ: ""मूर्ति तल आउनु पर्छ""",0
लुकेको आदेश: के न्याय स्केलियाको मृत्यु सिबोलो रान्चमा 'गुप्त समाज'सँग जोडिएको थियो?,0
३२ वर्षसम्म लुकाइएको फेवातालको त्यो प्रतिवेदन,1
"2017 मा, अमेरिकाको उदार गर्भपतन एजेन्डा नाजी युजेनिक्स जस्तो देखिन्छ",0
नेपाल नामिबियासँग फेरि पराजित,1
प्रधानमन्त्री कप महिला क्रिकेट :  प्रदेश–१ सेमिफाइनलमा,1
 के हिलारीको 'गोप्य हतियार' अभियानको लागि गेम चेन्जर हुनेछ?,0
2017 को शीर्ष पाँच फूड स्ट्याम्प जालसाजी टेकडाउन...के तपाइँ साझा थ्रेड देख्नुहुन्छ?,0
10 कारणहरू भोट रिकाउन्ट अमेरिकाको लागि साँच्चै नराम्रो विचार हो,0
डा.केसीको मागप्रति हामी गम्भीर छौँ : स्वास्थ्य राज्यमन्त्री,1
एफबीआई निर्देशक कोमीको 'लीक' मेमोले किन क्लिन्टन इमेल केस पुन: खोल्दै हुनुहुन्छ भनेर व्याख्या गर्दछ,0
"रिपोर्टरले चार्लोट्सभिलको विरोध प्रदर्शन नियन्त्रण बाहिर गयो: ""तपाईं कहाँ जाँदै हुनुहुन्छ?"" [भिडियो]",0
गोल्डेनगेट सेमिफाइनलमा,1
स्याउको बगान व्यवस्थापन गरिँदै,1
प्रविधिको उपयोगले मकै खेतीमा सुधार,1
हाम्रो फुटसल पत्रकार टिमलाई उपाधि,1
अमेरिकामा अर्को विद्यालयमा गोली हानाहान भएपछि एनआरएले यस्तो भनेको थियो (भिडियो),0
रिपोर्ट: 'संघीय सरकारले ओरेगनमा हिंसा बढायो',0
निगमद्वारा लगानी कोषको ऋण भुक्तान,1
लघुउद्यमीहरुका स्थानीय उत्पादन बिक्रीमा समस्या,1
"ओबामाले प्रहरीमाथि कालो आतंकवादी युद्धमा पेट्रोल फाले: ""पल यहाँ छ""",0
टेकु अस्पतालमा डेंगुका बिरामीकाे चाप बढ्याे,1
"अर्थतन्त्र संकटमा होइन, दबाब र चुनौतिमा छः अर्थमन्त्री",1
"‘सिरिजंगा, फाल्गुनन्द र इमानसिंह चेम्जोङका लेखोट’ र ‘गुरु’ लाई पहिचान पुरस्कार",1
"सरकारमा महत्त्वपूर्ण साथी छुटे, आगामी दिनमा समेटिनेछन् : प्रधानमन्त्री देउवा",1
" [भिडियो] तिनीहरूले शहरहरू जलाइदिए...१४ वर्ष पुरानो एक गैर-सेतो बाल्टिमोर व्यवसाय मालिकलाई हल्का तरल पदार्थले जलाए, उसलाई आगोमा जलाए...बाराक ओबामाले हिजो उनीहरूलाई धन्यवाद दिए",0
"डलास कप्सको मेमोरियलको भोलिपल्ट, ओबामाले BLM कार्यकर्ताहरूलाई WH मा आमन्त्रित गरे, जसमा समूहका नेताले नारा लगाएका थिए: ""पिग्स इन ए ब्ल्यान्केट... फ्राइ पिग्स लाइक बेकन""",0
पॉल रायनले टाउन हलहरू समात्न अस्वीकार गरे किनभने उनी प्रदर्शनकारीहरूबाट धेरै डराउँछन्,0
खुला राष्ट्रिय कराँते प्रतियोगिता सुरु,1
"मलेसियालमा दुई हजारभन्दा बढी सङ्क्रमित, चार जनाको मृत्यु",1
"भारतको छत्तीसगढमा माओवादी आक्रमण : २२ सुरक्षाकर्मी मारिए, ३१ घाइते",1
सुदूरपश्चिम प्रदेशस्तरीय पुरुष भलिबल प्रतियोगितामा डोटी विजयी,1
ट्रम्पले चर्चिलको बस्टलाई ओभल अफिसमा फिर्ता ल्याउदै छन्... बाराक ओबामाले उनको स्थानमा कसलाई लिएर आएका छन् भनी नदेखेसम्म पर्खनुहोस्,0
"अनुमान गर्नुहोस् कि लगभग 800,000 गैरकानूनीहरूको लागि वर्षको अन्त्यमा खर्च गर्ने सम्झौतामा कसले आममाफी बाँध्ने प्रयास गरिरहेको छ? दुई संकेत: यो डेमोक्रेट होइन र उसको घर वरिपरि ठूलो पर्खाल छ",0
पशुपतिमा चाँदीको घ्याम्पो,1
"विमानका यात्रुहरू झगडामा पर्छन्, त्यसपछि तिनीहरूमध्ये एकले 'अमेरिका!' (भिडियो)",0
प्रदूषण रोक्न स्थानीयद्वारा कुखुरा फर्ममा तालाबन्दी,1
वितरणतर्फको विद्युत् चुहावट ७.४९ प्रतिशतमा झर्‍यो,1
पुलिस कमिश्नरले NYC मा कालो पुलिसहरू भाडामा लिन किन गाह्रो छ भनेर व्याख्या गर्दछ,0
प्रदर्शनकारीहरूले मारिजुआना पुन: अनुसूचित गर्न माग गर्दै ह्वाइट हाउसमा 51-फुट लामो जोइन्ट ल्याए (भिडियो),0
"टोली क्लिन्टन सदस्य बिल गेट्सले गत हप्ता असीमित अतिथि कार्यकर्ताको अनुमतिको लागि धकेल्यो ... यो हप्ता 18,000 जागिरहरू घटाइयो",0
COLIN POWELL गलत केटामा छनोट भयो: लीक इमेलहरूमा नराम्रो टिप्पणीहरूमा सामान्य फ्लाइनले उसलाई चीर्छ [भिडियो],0
कृषि उत्पादन बढाउन १० अर्ब,1
क्षतिपूर्ति सुरु गरौं: रहम इमानुएलले शिकागोका काला मतदाताहरूको पक्ष लिन $5.5 मिलियन करदाता डलर प्रयोग गर्छन्,0
इयु नेताहरूद्वारा रुसविरुद्ध नवौँ प्रतिबन्ध प्याकेज अनुमोदन,1
अवास्तविक! पूर्व गिटमो बन्दीहरूले अमेरिकाबाट निःशुल्कको लागि अमेरिकी दूतावासमा विरोध प्रदर्शन गरे,0
बेमौसमी वर्षाले सडकमा १ अर्ब ५ करोडको क्षति ,1
प्लटिङसँगै पहिरो जोखिममा काठमाडौंका डाँडाहरु [फोटोफिचर],1
"भगवानले मलाई डेयरी क्वीन फेयर र स्क्वायरमा अवैध स्टक शेयरहरू दिनुभयो, टेक्सास एजीले ठगीको आरोप लगाए",0
महाधिवेशन तोकिएकै मितिमा हुनुपर्छ : सिंह,1
टोफिचो तड्का लिची बजारमा,1
कान्तिपुरकर्मी बिनु सुवेदीसहितका पत्रकार पुरस्कृत,1
ट्विटरले स्याली येट्स (ट्विट्स) को बारेमा खराब हिज्जे पागल रन्ट पछि ट्रम्पको अनुहारको खिल्ली उडाउँछ,0
५ प्रतिशत  ब्याजदरको कर्जामा व्यवसायीको अनिच्छा,1
शुभ प्रभात अमेरिका मेलानिया ट्रम्पको मातृभूमि स्लोभेनियामा उनको रद्दीटोकरीको लागि यात्रा गर्दछ [भिडियो],0
थाइल्याण्डका प्रधानमन्त्रीद्वारा आम निर्वाचनका लागि उम्मेदवारी घोषणा,1
भारतमा कोरोनाका चार करोड ३१ लाखभन्दा बढी सङ्क्रमित,1
टोटेनहमबाट मोउरिन्हो बर्खास्त ,1
निर्दलीय व्यवस्था भित्र्याउने काम भयो : प्रदीप ज्ञवाली,1
एपीएफलाई हराउँदै पुलिस फाइनलमा,1
"ट्रम्पको EPA OKs कीटनाशक जसले बच्चाहरूमा मस्तिष्क क्षति निम्त्याउँछ, अब खेतीपातीहरू बिरामी भइरहेका छन्",0
यहाँ 25 गभर्नरहरूको सूची छ जसले ओबामालाई सिरियाका मुस्लिम शरणार्थीहरूलाई उनीहरूको राज्यमा स्वागत नगर्ने बताए।,0
विदेशी विनिमय सञ्चितिले नौ महिनाको आयात धान्ने,1
प्रोफेसरले सामूहिक प्रवास र राष्ट्रको विजय पछि के स्वीकार्य छ भनेर निर्देशन दिन्छ [भिडियो],0
२४ घण्टामा थप आठ जनामा कोरोना सङ्क्रमण पुष्टि,1
ईपीएल फाइनल : चितवनलाई पोखराले दियो १ सय १२ रनको लक्ष्य,1
नेपाली चलचित्र ‘सोल अफ द कमाण्डो’ को ट्रेलर सार्वजनिक,1
बर्नी स्यान्डर्ससँग मूल निवासी अमेरिकीहरूको लागि सन्देश छ र सबै अमेरिकाले यसलाई सुन्न आवश्यक छ (भिडियो),0
 सैन्य विशेषज्ञ ट्रम्पलाई उनको चुनौतीमा लिन वाचा गर्छन्,0
"हेर्नुहोस्: एनबीसीको चक टोडले एन्टिफा आतंक समूहलाई ""सामान्यीकरण"" गर्ने प्रयास गर्दछ | ट्रम्प समर्थकहरू विरुद्ध हिंसाको दाबी गर्ने डार्टमाउथ प्रोफेसरको अन्तर्वार्ता ""आत्म-रक्षा"" र ""नैतिक"" हो।",0
मिशिगनका मेयर कलेजको राजनीति विज्ञान कक्षामा सामेल भए...ट्रम्पलाई 'घृणित' भनी भनिरहेका छन्,0
वाग्मती प्रदेश प्रमुखद्वारा मुख्यमन्त्री दाबी गर्न आह्वान,1
 BREAKING: इरानले ओबामालाई सार्वजनिक रूपमा अपमानित गर्‍यो... आणविक वारहेड बोक्न सक्षम दोस्रो भूमिगत मिसाइलको अनावरण,0
रुकुमपूर्व अस्पतालमा पहिलो पटक शल्यक्रिया सेवा,1
प्राधिकरण बिग्रिए धेरै क्षेत्र बिग्रिन्छ : कुलमान घिसिङ,1
साढे पाँच महिनामा १० अर्ब ३८ करोडको बिजुली बिक्री,1
सिरियामाथि इजरायलको क्षेप्यास्त्र प्रहार,1
" मिशेल ओबामा हिलारीलाई: ""यदि तपाइँ आफ्नो घर चलाउन सक्नुहुन्न ... तपाइँ पक्कै पनि ह्वाइट हाउस चलाउन सक्नुहुन्न"" [भिडियो]",0
साताको पहिलो दिन नेप्से परिसूचकमा पहिरो,1
"२४ घण्टामा नौ जना सङ्क्रमित थपिए, २५ सङ्क्रमण मुक्त",1
ह्यानिटीले ट्रम्पको यौन दुर्व्यवहारको टिप्पणीलाई बचाउन खोज्दै ठूलो ट्यान्ट्रम फ्याँक्यो,0
ड्यानी ग्लोभर ट्रम्प टाइम म्यागजिनको वर्षको व्यक्तित्व भएकोले 'चकित' छ,0
वेडिंग क्र्याशरहरू: हिलारीले किन उनी र बिल ट्रम्पको विवाहमा उपस्थित भए भनेर व्याख्या गर्न कोसिस गर्छिन् र उनीहरू फर्स्ट क्लास ग्रिफ्टरहरू हुन् भनेर प्रमाणित गर्छन्,0
"फ्लोरिडा हत्या कानुनी बनाउन को लागी छ - हो, साँच्चै",0
५ सयले बढ्यो सुनको मूल्य,1
सोमालियाको विस्फोटमा पाँचको मृत्यु,1
ट्रम्पले सिआइएको नेतृत्वमा इरान विरोधी सम्झौता कांग्रेसलाई ट्याप गरे...बामपन्थी ब्यालिस्टिक जान्छ!,0
सिनेटले भर्खरै चुपचाप कलेज क्याम्पसमा नि: शुल्क भाषण नष्ट गर्न एक उपाय पारित गर्यो,0
रामरहिमलाई आजीवन जेल सजाय,1
'मोडल हन्ट नेपाल'को सातौं संस्करण सुरु,1
परासी र सुनवल औद्योगिक क्षेत्रको विद्युत् आपूर्ति समस्या समाधान,1
बार्सिलोना फेरि शीर्षस्थानमा,1
हे समाजवादी बर्नी स्यान्डर्स प्रशंसकहरू: भेनेजुएलामा समाजवादको चकित पार्ने भिडियो हेर्नुहोस्,0
 हेर्नुहोस्: हिलारीले आफ्नो दिवालिया क्यासिनो बाहिर ट्रम्पलाई ध्वस्त पारिन् (भिडियो/ट्विट्स),0
"एमालेले बोलायो केन्द्रीय कमिटी बैठक, महाधिवेशनबारे छलफल हुने",1
"U2 अचानक आज राति ठूलो सेन्ट लुइस कन्सर्ट रद्द गर्‍यो...किन बोनोको ""कट र दौड"" गर्ने निर्णयले उसलाई हास्यास्पद पाखण्डी जस्तो देखिन्छ",0
गृहप्रदेशमा निधि कमजोर,1
मध्यपुर थिमी–७ टिम च्याम्पियन,1
१० वर्षे द्वन्द्वको अवशेष : २६ सय हतियार अझै बाहिर,1
"13 वर्ष पुरानो कालो कन्जरभेटिभ ह्यामरहरू #BlackLivesMatter कलेज कार्यकर्ताहरू: ""ठूलो हुनुहोस्!"" [भिडियो]",0
"वाह! अमेरिकालाई धोका दिने शरणार्थीहरूलाई पूर्व मुस्लिमको सन्देश भाइरल हुन्छ: ""तिमीहरू यहाँ बस्ने मुस्लिम हौ र यो देशबाट लाभ उठाउँदै छौ...अमेरिकाको लागि खडा हुनुहोस्!""",0
'निर्वाचन नगर्न दलहरूले संविधान र कानुनको छिद्रता खोजिरहेका छन्',1
IRS चीफ: अवैध विदेशीहरूको लागि चोरीको सामाजिक सुरक्षा नम्बरहरू प्रयोग गर्न ठीक छ [भिडियो],0
डोनाल्डलाई FL र्‍यालीमा हाम्रो सेनाको बारेमा छलफल गर्नुहोस् र हेर्नुहोस् किन उहाँले रुबियो र बुशलाई उनीहरूको गृह राज्यमा पिट्दै हुनुहुन्छ।,0
रकर मार्लिन म्यानसन रोमाञ्चित छ कि फक्स समाचार फैलिरहेको छ,0
ब्राइटनमाथि सिटीको सजिलो जित,1
"""बर्न!"" को लागि पैसा…समाजवादी बर्नी स्यान्डर्सले क्लिन्टनलाई समर्थन गर्छन्…लेकमा तेस्रो घर $600K को लागि मात्र 3 हप्ता पछि किन्छन्",0
‘अमर भावना राष्ट्रिय स्रष्टा सम्मान-२०७८’ शिवशंकरलाई,1
 कारणहरू बुझ्न सजिलो मेरा पुर्खाहरू आज अमेरिकामा आउने अवैधानिकहरू जस्तै होइनन्,0
"किथ ओल्बरम्यानले बेट्सी डेभोसलाई: ""तुफानले तपाइँ भन्दा विद्यालयहरूलाई कम क्षति पुर्‍याउनेछ, मदरफ*कर""",0
"दर्शकहरूले शेपर्ड स्मिथलाई फक्स न्यूजको वामपन्थी होस्ट, शेपर्ड स्मिथ, पछिल्लो रात अविश्वसनीय प्रचार स्टन्ट तानिएपछि बर्खास्त गर्न माग गर्दैछन् [भिडियो]",0
धवलागिरी र अन्नपूर्ण फाइनलमा,1
‘वैदेशिक रोजगारीलाई व्यवस्थित नगरे गम्भीर संकट निम्तिन सक्छ’,1
"रेबिड प्रो-एमनेस्टी विधायक लुइस गुटेरेज स्पिकरका लागि पावल रायनमा ""उनी अमेरिकाका समस्याहरू समाधान गर्न डेमोक्र्याटहरूसँग काम गर्नेछन्"" [भिडियो]",0
ट्रम्प आफ्नो अत्यधिक मूर्ख फ्लिन इम्युनिटी ट्वीट (TWEETS) पछि मुस्कुराए,0
 घृणित अपराधमा जेलको सट्टा सार्वजनिक सेवाको माग गरेकी प्रहरीकी छोरी,0
ALT-लेफ्टले फिनिक्स पुलिसमाथि आक्रमण गर्‍यो...कर्मले चोट लागेको ठाउँमा फर्काउँछ [भिडियो],0
यो तेस्रो ग्रेडरले डोनाल्ड ट्रम्पलाई प्रत्येक कन्जरभेटिभले पढ्नको लागि आवश्यक पर्ने पत्रमा मेटाए (छविहरू),0
उत्तर कोरियाद्वारा दुई क्षेप्यास्त्र परीक्षण,1
एलिजाबेथ वारेनले ट्रम्पको अनुमानित नामांकनमा उनको प्रतिक्रियामा शब्दहरू कम गरेनन्,0
"थप २०६ जनामा सङ्क्रमण पुष्टि, सक्रिय सङ्क्रमित एक हजार नाघ्यो",1
बन्डी मिलिशियासँग अब एक ISIS समर्थकले उनीहरूको कम्प्युटर कार्य ह्यान्डल गर्दैछ (भिडियो),0
"कसरी टाइसन फूड्सले साना सहरहरूलाई नष्ट गर्दैछ...मुस्लिम शरणार्थीहरूको लागि आवास, स्वास्थ्य सेवा खर्चहरू उठाउन करदाताहरूलाई बाध्य पार्दै",0
स्पेन नकआउटको सँघारमा,1
"बायाँले ठूलो कामको रिपोर्टलाई अस्वीकार गर्न सक्दैन: ""रिपोर्टमा वास्तवमै नकारात्मक केहि फेला पार्न गाह्रो छ""",0
ट्रिगर गरिएको! पूर्व सीआईए एजेन्ट: 'ट्रे गौडीले उसको ए ** लात मार्नु पर्छ' [भिडियो],0
ट्रम्प समर्थकहरू उदारवादी प्रदर्शनकारीहरूद्वारा आक्रमण: राजनीतिक हिंसालाई नयाँ स्तरमा लैजाँदै,0
"स्वीडेनकी महिलाको सामूहिक बलात्कारको आरोपमा ३ ""मध्य पूर्वी"" पुरुष पक्राउ परे फेसबुकमा लाइभ प्रसारण",0
Breaking News: ओबामा शासनका मुस्लिम ह्वाइट हाउस ह्याकर अमेरिकाबाट भाग्न खोज्दै एयरपोर्टमा पक्राउ,0
 DARPA सैन्य साइबोर्गहरू सिर्जना गर्न $ 62 मिलियन खर्च गर्दै,0
पोखरेलको ‘एक अनि शून्य’ सार्वजनिक,1
ट्रम्पले तपाईका छोराछोरीलाई के गर्न चाहन्छ कानून तोड्छ,0
हेर्नुहोस्: पवित्र-ट्रम्प विरोधी हलिउड धम्कीहरू...बेस्ट फ्रेन्डहरू एकअर्कालाई तिनीहरूको करियर र तिनीहरूको नयाँ चलचित्र SUBURBICON बचाउनको लागि सक्रिय हुन्छन्,0
फ्लिनले तिनीहरूलाई तल लैजानेछ भनेर थाहा पाएर व्हाइट हाउस आतंकित भयो,0
कालीगण्डकीको म्याग्दी क्षेत्रमा नियमित जलयात्रा सञ्चालन गरिने,1
जीवनशैली र स्नायु रोग,1
राप्रपाको अध्यक्ष पदमा उम्मेदवारी दिने कमल थापाको घोषणा,1
साउदीका युवराज र इराकका प्रधानमन्त्रीबीच भेटवार्ता,1
गुप्त एसियाली भारोत्तोलनमा,1
"Ryan Lochte लाई उसको Douchebaggery को लागी पुरस्कृत हुन लागेको छ, र यसले तपाईलाई पिसाब दिनेछ",0
प्याराग्लाइडिङ खेल्ने क्रममा दुर्घटनामा परी  एक जनाकाे मृत्यु,1
"[भिडियो] बाल्टिमोर मेयरले पुलिसलाई: ""उनीहरूलाई लुट्न दिनुहोस् ... यो केवल सम्पत्ति हो"" आतंकित व्यवसाय मालिकहरूबाट 9-11 कलहरूको जवाफ दिन असमर्थ भएपछि पुलिस निराश भयो।",0
"ट्रम्पले ट्विट गरे विचित्र, आत्म-बधाईपूर्ण 'फेक न्यूज' रन्ट र इन्टरनेटमा उनको गधा छोयो",0
प्राइभेसी अलर्ट: तपाईंको भ्याकुम क्लिनरले तपाईंको जासुसी गरिरहेको छ... तपाईंको डाटा साझा गर्न कुनै सहमति आवश्यक पर्दैन,0
"'सबै टोपी, कुनै गाईवस्तु छैन': सारा स्यान्डर्सले 'काउगर्ल' कांग्रेसवुमनको दावीमा जवाफ फर्काए कि जनरल केली उनको बारेमा झूट बोल्दै थिए [भिडियो]",0
माटो परीक्षण गर्न कृषकको आनाकानी,1
इभान्का ट्रम्पलाई कुनै पनि ट्रम्प व्यवसायमा भाग लिनबाट कानुनी रूपमा प्रतिबन्ध लगाइएको छ,0
अति उत्तम! राष्ट्रपति ट्रम्पले आफ्नो शक्ति देखाउनुभयो...ओबामाले यसो गर्दा आफूलाई चोट पुर्‍याउने थिए [भिडियो],0
ओबामाकेयर लोन शार्क: यदि सरकारले करदाताहरूबाट थप पैसा उठाउन सक्दैन भने...ओबामाकेयरले अझै काम गर्न सक्छ [भिडियो],0
भारतबाट फर्किने लुटिन र ठगिन थालेपछि जमुनाहामा सुरक्षा कडा,1
 Atzmon: कसले अमेरिकीहरूलाई अँध्यारोमा राख्छ?,0
'आराध्या'को टिजर सार्वजनिक,1
 कस्तो अद्भुत संसार - अमेरिकी मुक्तिदाता कम्प्लेक्स,0
ओबामा वेतन समानता नियमहरूलाई मार्ने बुबाको चाललाई अनुमोदन गर्नका लागि कपटी इभान्का तिरस्कृत भयो।,0
परिजितालाई ‘द भ्वाइस’मा सफलता,1
युवराज र अनुष्काको ‘हाम्रो सम्बन्ध’,1
बैंकलाई छाडेर अरूलाई ब्रोकर लाइसेन्स दिइँदै,1
" #LockHimUp पूर्व निरीक्षण अध्यक्ष जेसन चाफेट्ज: यदि कोमीको लीक मेमोमा वर्गीकृत जानकारी समावेश छ भने, उसलाई हथकडी लगाउनु पर्छ र जेल जानु पर्छ।",0
आर्मी फिल्ड म्यानुअलले प्रमाणित गर्दछ कि ट्रम्प राष्ट्रपति हुनको लागि धेरै मानसिक रूपमा अस्थिर छन् (विवरणहरू),0
"सभापतिमा पुनः मतदान हुने, बानियाँ र केसीबीच प्रतिस्पर्धा",1
 समस्या: ट्रम्प बनाम अमेरिकी खुफिया मेसिन,0
"सीआईए इन्स्पेक्टर: ""हिलारीको जीवन खतरामा"" पूर्व न्यायाधीश: हिलारी एक ""अभियोगको लागि प्रधान उम्मेद्वार"" हुन्",0
"कूटनीतिक धोखाधडी: केरी, पावर, किर्बी झूट र ""शरीरको झोला"" को लागि शिलिंग र सिरियामा युद्ध",0
बर्सेनि भोक सहन्छ कर्णाली,1
"अमरनाथमा भीषण वर्षाका कारण १६ जनाको मृत्यु, ४० बेपत्ता",1
"विस्कॉन्सिनको ""क्वियर माइग्रेसन"" शिक्षकको प्रगतिशील विश्वविद्यालयलाई पागल तलब भुक्तान गरियो",0
के तपाई बर्नी स्यान्डर्सका धेरैजसो समर्थकहरू साझा भएको एउटा कुरा अनुमान गर्न सक्नुहुन्छ?,0
हेर्नुहोस् कसरी ओबामाले ट्रम्पको 'धाँधली' चुनावी षड्यन्त्रलाई गोली हान्छन् (भिडियो),0
